1,61
2,3
3,79
4,1
5,4
6,45
7,51
8,15
9,19
10,52
11,82
12,55
13,20
14,61
15,30
16,36
17,7
18,35
19,68
20,94
21,43
22,31
23,69
24,60
25,87
26,68
27,19
28,61
29,73
30,54
31,56
32,19
33,98
34,89
35,26
36,15
37,95
38,49
39,21
40,5
41,98
42,52
43,16
44,85
45,36
46,24
47,65
48,71
49,56
50,87
51,51
52,12
53,76
54,7
55,17
56,65
57,80
58,71
59,67
60,18
61,75
62,28
63,31
64,77
65,15
66,59
67,65
68,6
69,64
70,80
71,15
72,96
73,97
74,83
75,80
76,35
77,65
78,58
79,68
80,10
81,82
82,64
83,86
84,10
85,22
86,91
87,66
88,50
89,72
90,33
91,42
92,65
93,88
94,84
95,58
96,21
97,48
98,60
99,71
100,96
101,50
102,9
103,93
104,25
105,95
106,19
107,56
108,88
109,31
110,80
111,7
112,19
113,4
114,80
115,45
116,83
117,59
118,53
119,96
120,53
121,19
122,60
123,18
124,77
125,0
126,95
127,46
128,45
129,45
130,96
131,60
132,31
133,28
134,64
135,36
136,20
137,21
138,27
139,87
140,35
141,49
142,21
143,9
144,89
145,45
146,48
147,4
148,63
149,64
150,43
151,73
152,26
153,64
154,43
155,1
156,9
157,76
158,28
159,58
160,37
161,43
162,72
163,60
164,29
165,34
166,24
167,53
168,22
169,16
170,54
171,79
172,66
173,18
174,92
175,40
176,66
177,74
178,46
179,24
180,60
181,44
182,84
183,94
184,7
185,52
186,48
187,5
188,3
189,47
190,28
191,29
192,91
193,23
194,81
195,8
196,76
197,59
198,44
199,62
200,30
201,18
202,48
203,80
204,29
205,91
206,10
207,14
208,40
209,86
210,52
211,43
212,95
213,72
214,70
215,93
216,77
217,79
218,25
219,78
220,98
221,74
222,25
223,18
224,17
225,17
226,29
227,58
228,97
229,44
230,36
231,87
232,83
233,14
234,79
235,78
236,10
237,89
238,14
239,89
240,13
241,84
242,80
243,92
244,82
245,91
246,52
247,55
248,80
249,91
250,31
251,89
252,35
253,25
254,75
255,64
256,59
257,98
258,7
259,47
260,88
261,11
262,9
263,90
264,65
265,96
266,84
267,86
268,71
269,57
270,54
271,21
272,2
273,77
274,5
275,32
276,2
277,1
278,48
279,4
280,49
281,17
282,59
283,33
284,42
285,67
286,18
287,51
288,14
289,30
290,86
291,20
292,38
293,24
294,40
295,40
296,50
297,3
298,9
299,23
300,25
301,96
302,42
303,54
304,98
305,16
306,67
307,23
308,14
309,10
310,23
311,73
312,93
313,46
314,89
315,16
316,29
317,36
318,65
319,74
320,80
321,76
322,62
323,58
324,84
325,82
326,20
327,28
328,80
329,53
330,97
331,4
332,71
333,43
334,1
335,1
336,5
337,4
338,73
339,97
340,78
341,91
342,94
343,77
344,85
345,40
346,51
347,71
348,66
349,44
350,14
351,37
352,78
353,88
354,35
355,51
356,94
357,39
358,30
359,85
360,68
361,80
362,38
363,11
364,48
365,81
366,70
367,67
368,3
369,79
370,80
371,86
372,11
373,92
374,31
375,49
376,15
377,6
378,86
379,22
380,64
381,59
382,80
383,34
384,15
385,51
386,20
387,57
388,44
389,45
390,86
391,93
392,39
393,42
394,91
395,80
396,55
397,45
398,2
399,33
400,3
401,56
402,71
403,25
404,25
405,44
406,48
407,68
408,34
409,84
410,53
411,96
412,50
413,12
414,70
415,64
416,21
417,96
418,19
419,33
420,35
421,33
422,16
423,60
424,4
425,26
426,67
427,66
428,10
429,40
430,13
431,15
432,28
433,33
434,14
435,30
436,44
437,32
438,6
439,81
440,82
441,0
442,9
443,95
444,28
445,88
446,69
447,43
448,26
449,81
450,97
451,31
452,30
453,12
454,0
455,84
456,57
457,67
458,62
459,27
460,42
461,46
462,40
463,51
464,77
465,72
466,16
467,59
468,82
469,58
470,17
471,9
472,95
473,39
474,36
475,85
476,45
477,51
478,53
479,33
480,16
481,44
482,26
483,82
484,2
485,14
486,62
487,40
488,16
489,22
490,86
491,86
492,52
493,53
494,48
495,94
496,16
497,43
498,70
499,13
500,83
501,77
502,38
503,14
504,85
505,82
506,62
507,82
508,45
509,28
510,31
511,67
512,14
513,12
514,49
515,33
516,93
517,49
518,7
519,77
520,83
521,59
522,10
523,3
524,90
525,66
526,27
527,20
528,68
529,29
530,65
531,59
532,41
533,9
534,79
535,91
536,21
537,66
538,3
539,26
540,18
541,40
542,23
543,10
544,59
545,78
546,94
547,73
548,27
549,2
550,10
551,87
552,52
553,38
554,17
555,40
556,0
557,55
558,51
559,31
560,12
561,3
562,13
563,72
564,98
565,34
566,98
567,21
568,77
569,87
570,17
571,57
572,51
573,13
574,39
575,96
576,1
577,55
578,27
579,25
580,93
581,48
582,50
583,84
584,38
585,70
586,93
587,26
588,88
589,64
590,32
591,92
592,80
593,75
594,51
595,4
596,82
597,72
598,12
599,94
600,66
601,64
602,71
603,1
604,58
605,4
606,3
607,18
608,80
609,88
610,16
611,4
612,93
613,16
614,18
615,22
616,32
617,75
618,85
619,16
620,64
621,70
622,33
623,48
624,84
625,92
626,38
627,67
628,49
629,26
630,94
631,65
632,60
633,18
634,14
635,24
636,25
637,15
638,4
639,81
640,53
641,24
642,81
643,65
644,81
645,48
646,38
647,62
648,5
649,37
650,38
651,52
652,94
653,93
654,70
655,83
656,18
657,29
658,23
659,50
660,68
661,17
662,90
663,39
664,87
665,5
666,81
667,26
668,34
669,33
670,59
671,4
